vendor_name,vendor_category,vendor_state,vendor_area,vendor_city,property_type,venue_start_year,vendor_address,vendor_contact_info,vendor_google_map,no_of_rooms,per_room_price,starting_decor_price,veg_price_per_plate,nonveg_price_per_plate,destination_price,destination_details,small_party_venue,space_available,parking_policy,catering_policy,decor_policy,dj_policy,alcohol_policy,event_space_name_1,event_space_type_1,seating_guests_1,floating_guests_1,event_space_name_2,event_space_type_2,seating_guests_2,floating_guests_2,event_space_name_3,event_space_type_3,seating_guests_3,floating_guests_3,event_space_name_4,event_space_type_4,seating_guests_4,floating_guests_4,event_space_name_5,event_space_type_5,seating_guests_5,floating_guests_5,event_space_name_6,event_space_type_6,seating_guests_6,floating_guests_6,event_space_name_7,event_space_type_7,seating_guests_7,floating_guests_7,event_space_name_8,event_space_type_8,seating_guests_8,floating_guests_8
Ranbanka Palace,Wedding Venues,83,Ajit Colony,2037,Wedding Destination,1927,"Ranbanka Palace, Circuit House Road, Ajit Colony, Jodhpur, Rajasthan, India",9351157071,"https://www.google.com/maps?q=26.2835403,73.03835959999999",49 Rooms,"15,000","400,000",2000,2500,22.50 Lakhs,(incl. Rooms + 3 Meals + Venue) /day for 49  rooms,Yes,"Indoor, Outdoor, Poolside space",There is sufficient parking available,Inhouse catering only,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Fountain Lawn,Outdoor Area,100,250,Poolside Lawn,View Outdoor Area,300,450,Pole Bageecha,Outdoor Area,300,500,,,,,,,,,,,,,,,,,,,,
"Suryagarh Jaisalmer, Rajasthan",Wedding Venues,83,Jaisalmer,2037,Luxury Palace Hotel,,"Kahala Phata, Sam Road, Jaisalmer, Rajasthan 345001",9001995888,"https://www.google.com/maps?q=26.9157487,70.90834429999995",95 Rooms,"12,000","200,000",12500,12500,197.00 Lakhs,(incl. Rooms + 3 Meals + Venue) /day for 95  rooms,Yes,"Indoor, Outdoor, Poolside, Terrace / Rooftop space",There is sufficient parking available,Inhouse catering only,Decorators from panel only,"In house DJ not available , Outside DJ permitted","In house alcohol available, Outside alcohol not  permitted",Yoga Garden,Outdoor Area,100,150,Khuzamsha Hall,Indoor Area,100,150,Sunset Patio,View Outdoor Area,300,450,Lakeside,View Poolside Area,400,600,Celebration Lawn,View Outdoor Area,800,1200,Pool Side,View Indoor Area,120,120,,,,,,,,
"Indana Palace, Shikargarh",Wedding Venues,83,Air Force Area,2037,4 Star Hotel,,"Indana Palace Jodhpur, Shikargarh Road, Pabupura, Jodhpur, Rajasthan, India",2917184888,"https://www.google.com/maps?q=26.2693866,73.0683821",88 Rooms,"13,500",,1850,1950,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse catering only,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol not  permitted",Hall,Indoor Area,380,600,Lawn,Outdoor Area,250,400,,,,,,,,,,,,,,,,,,,,,,,,
Chandra Inn,Wedding Venues,83,Air Force Area,2037,Hotel,1997,"Air Force Area, Jodhpur, Rajasthan, India",2912670583,"https://www.google.com/maps?q=26.2486661,73.03462439999998",70 Rooms,"4,000","25,000",650,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",There is sufficient parking available,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol not available, Outside alcohol not permitted",Basement Hall,Indoor Area,225,500,Banquet Hall,Indoor Area,110,200,Lovely Heaven Hall,Indoor Area,50,75,Grand Basant,Outdoor Area,1000,1500,,,,,,,,,,,,,,,,
"Bijolai Palace - A Inde Hotel, Jodhpur",Wedding Venues,83,Air Force Area,2037,Hotel,,"Jodhpur, Rajasthan, India",7240009640,"https://www.google.com/maps?q=26.2389469,73.0243094",36 Rooms,"4,999","300,000",1200,1800,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Outdoor, Terrace / Rooftop space",There is sufficient parking available,Inhouse & outside catering allowed,Decorators from panel only,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Garden 1,Outdoor Area,100,150,Bijolai Lake Terrace Restaurant,Outdoor Area,250,350,Dam Side Area,Outdoor Area,450,750,Garden 2,Outdoor Area,100,150,,,,,,,,,,,,,,,,
"Hotel Madhuram Royale, Pal Road",Wedding Venues,83,Bhadu Market,2037,Hotel,,"Hotel Madhuram Royale, Pal Road, Khema-Ka-Kuwa, Jodhpur, Rajasthan, India",8432044403,"https://www.google.com/maps?q=26.2331505,72.9671896",34 Rooms,"30,000","50,000",1200,1450,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",,Inhouse catering only,Inhouse decor,"In house DJ available, Outside DJ not permitted","In house alcohol available, Outside alcohol not  permitted",Lawn,Outdoor Area,650,1000,Hall,Indoor Area,150,250,,,,,,,,,,,,,,,,,,,,,,,,
The Marugarh Resort & Spa,Wedding Venues,83,Bhadu Market,2037,Resort,,"The Marugarh Resort & Spa, Chopasni, Jaisalmer Bypass Road, Gopal Bari, Jodhpur, Rajasthan, India",9251081316,"https://www.google.com/maps?q=26.25678599999999,72.942105",63 Rooms,"2,500","25,000",1100,1200,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,Outdoor space,,Inhouse catering only,Inhouse decor,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Lawn,Outdoor Area,2000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterling Rudraksh Jaisalmer,Wedding Venues,83,Jaisalmer,2037,Resort With Desert Charm,,"Sterling Rudraksh Jaisalmer, Ramgarh Road, near Bada Bagh, Baramsar With Baisakh, Jaisalmer, Rajasthan, India",9805518218,"https://www.google.com/maps?q=26.9780971,70.868978",41 Rooms,,,2300,2600,12.00 Lakhs,(incl. Rooms + 3 Meals + Venue) /day for 41  rooms,Yes,"Indoor, Outdoor, Poolside space",There is sufficient parking available,Inhouse catering only,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Banquet Hall,View Indoor Area,20,50,Lawn,View Outdoor Area,50,500,,,,,,,,,,,,,,,,,,,,,,,,
Umaid Bhawan Palace,Wedding Venues,83,Cantt Area,2037,5 Star Fort / Palace Hotel,2004,"Umaid Bhawan Palace, Circuit House Rd, Cantt Area, Jodhpur, Rajasthan, India",2912510101,"https://www.google.com/maps?q=26.2810589,73.0476932",70 Rooms,"11,300",,950,1150,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,No,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol not  permitted",Lawn,Outdoor Area,2000,3000,Banquet,Indoor Area,450,750,,,,,,,,,,,,,,,,,,,,,,,,
Hotel The Balam,Wedding Venues,83,Cantt Area,2037,Small Function Hall,,"Hotel The Balam, Shikargarh Road, Shikargarh Enclave, Cantt Area, Jodhpur, Rajasthan, India",8000941113,"https://www.google.com/maps?q=26.2736697,73.0696364",17 Rooms,"2,500",,750,,,(incl. Rooms + 3 Meals + Venue) /day for 100 rooms,Yes,"Indoor, Outdoor space",,Inhouse & outside catering allowed,Outside decorators permitted,"In house DJ available, Outside DJ permitted","In house alcohol available, Outside alcohol  permitted",Hall,Indoor Area,50,80,Lawn,Outdoor Area,150,250,,,,,,,,,,,,,,,,,,,,,,,,
